Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
EventBus,org.greenrobot.eventbus.android,AndroidDependenciesDetector,1,0,3,3,38,3,0,0,0.6666666666666666,1,0
EventBus,org.greenrobot.eventbus.android,AndroidComponentsImpl,0,0,1,1,8,1,0,1,-1.0,0,0
EventBus,org.greenrobot.eventbus.android,AndroidLogger,1,0,4,3,36,10,0,0,0.0,0,0
EventBus,org.greenrobot.eventbus.android,DefaultAndroidMainThreadSupport,0,0,2,2,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusInheritanceDisabledTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusMainThreadTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusMainThreadRacingTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusAndroidOrderTestWithIndex,0,0,1,1,6,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusOrderedSubscriptionsTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusMethodModifiersTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusMultithreadedTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusInheritanceTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusRegistrationRacingTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusFallbackToReflectionTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusSubscriberExceptionTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusGenericsTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusStickyEventTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusBasicTestWithIndex,0,0,2,2,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusSubscriberInJarTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,Indexed,0,0,1,0,5,1,0,0,-1.0,16,1
EventBus,org.greenrobot.eventbus.indexed,EventBusCancelEventDeliveryTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusBackgroundThreadTestWithIndex,0,0,2,2,8,2,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbus.indexed,EventBusNoSubscriberEventTestWithIndex,0,0,1,1,5,1,0,0,-1.0,0,1
EventBus,org.greenrobot.eventbusperf,TestSetupActivity,2,0,6,5,65,10,0,0,0.8333333333333334,0,2
EventBus,org.greenrobot.eventbusperf,TestRunner,3,0,4,4,54,9,0,0,0.0,1,3
EventBus,org.greenrobot.eventbusperf,TestRunnerActivity,3,0,6,5,58,12,0,0,0.3333333333333333,1,5
EventBus,org.greenrobot.eventbusperf,Test,7,1,9,8,44,10,0,0,0.8888888888888888,3,1
EventBus,org.greenrobot.eventbusperf,TestFinishedEvent,2,2,1,1,8,1,0,0,0.0,1,1
EventBus,org.greenrobot.eventbusperf,TestParams,9,0,16,16,59,16,0,0,0.5,14,0
EventBus,org.greenrobot.eventbusperf,TestEvent,0,0,0,0,5,0,0,0,-1.0,10,0
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,6,0,23,21,159,33,3,0,0.7391304347826086,1,3
EventBus,org.greenrobot.eventbusperf.testsubject,Post,0,0,4,4,26,6,0,1,-1.0,0,2
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterAll,0,0,3,3,14,3,0,1,-1.0,0,1
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,1,0,3,3,38,7,2,1,1.0,0,1
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterFirstTime,0,0,2,2,16,2,0,2,-1.0,0,1
