Project Name,Package Name,Type Name,Method Name,Code Smell
EventBus,org.greenrobot.eventbus,EventBusMethodModifiersTest,testRegisterForEventTypeAndPost,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMethodModifiersTest,testRegisterForEventTypeAndPost,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMainThreadTest,testPost,Magic Number
EventBus,org.greenrobot.eventbus,EventBusMainThreadTest,testPostInBackgroundThread,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidOrderTest,backgroundAndMainUnordered,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidOrderTest,backgroundAndMainUnordered,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidOrderTest,backgroundAndMainOrdered,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidOrderTest,backgroundAndMainOrdered,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidMultithreadedTest,testSubscribeUnSubscribeAndPostMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidMultithreadedTest,testSubscribeUnSubscribeAndPostMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidMultithreadedTest,testSubscribeUnSubscribeAndPostMixedEventType,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidMultithreadedTest,run,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidMultithreadedTest,run,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidMultithreadedTest,run,Magic Number
EventBus,org.greenrobot.eventbus,SubscribeUnsubscribeThread,run,Magic Number
EventBus,org.greenrobot.eventbus,SubscribeUnsubscribeThread,run,Magic Number
EventBus,org.greenrobot.eventbus,SubscribeUnsubscribeThread,run,Magic Number
EventBus,org.greenrobot.eventbus,EventBusAndroidCancelEventDeliveryTest,testCancelInMainThread,Magic Number
EventBus,org.greenrobot.eventbus.util,ExceptionToResourceMapping,mapThrowable,Complex Conditional
EventBus,org.greenrobot.eventbus.util,ExceptionToResourceMapping,mapThrowable,Magic Number
EventBus,org.greenrobot.eventbus.meta,SubscriberMethodInfo,SubscriberMethodInfo,Long Parameter List
EventBus,org.greenrobot.eventbus.meta,AbstractSubscriberInfo,createSubscriberMethod,Long Parameter List
EventBus,org.greenrobot.eventbus.meta,AbstractSubscriberInfo,createSubscriberMethod,Long Statement
EventBus,org.greenrobot.eventbus.android,AndroidDependenciesDetector,isAndroidSDKAvailable,Empty catch clause
EventBus,org.greenrobot.eventbus.android,AndroidDependenciesDetector,isAndroidSDKAvailable,Empty catch clause
EventBus,org.greenrobot.eventbus.android,AndroidDependenciesDetector,isAndroidSDKAvailable,Empty catch clause
EventBus,org.greenrobot.eventbus.android,AndroidDependenciesDetector,isAndroidSDKAvailable,Empty catch clause
EventBus,org.greenrobot.eventbus.android,AndroidDependenciesDetector,areAndroidComponentsAvailable,Long Identifier
EventBus,org.greenrobot.eventbus.android,AndroidDependenciesDetector,instantiateAndroidComponents,Long Identifier
EventBus,org.greenrobot.eventbus.android,AndroidLogger,mapLevel,Magic Number
EventBus,org.greenrobot.eventbus.android,AndroidLogger,mapLevel,Magic Number
EventBus,org.greenrobot.eventbus.android,AndroidLogger,mapLevel,Magic Number
EventBus,org.greenrobot.eventbus.android,AndroidLogger,mapLevel,Magic Number
EventBus,org.greenrobot.eventbus.android,DefaultAndroidMainThreadSupport,createPoster,Magic Number
EventBus,org.greenrobot.eventbusperf,TestRunner,run,Empty catch clause
EventBus,org.greenrobot.eventbusperf,TestRunner,run,Magic Number
EventBus,org.greenrobot.eventbusperf,TestRunner,run,Magic Number
EventBus,org.greenrobot.eventbusperf,TestRunnerActivity,onEventMainThread,Long Statement
EventBus,org.greenrobot.eventbusperf,Test,getPrimaryResultRate,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestOtto,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterAll,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,PerfTestEventBus,Long Statement
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,getSubscriberClassForThreadMode,Missing default
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Long Statement
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,PerfTestEventBus,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Long Statement
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,Post,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterAll,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,runTest,Magic Number
EventBus,org.greenrobot.eventbusperf.testsubject,RegisterOneByOne,runTest,Magic Number
