Project Name,Package Name,Type Name,Method Name,Code Smell
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,onEventM100,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusOrderedSubscriptionsTest,onEventM100,Magic Number
EventBus,org.greenrobot.eventbusp,PrioSubscriber,onEventP10,Magic Number
EventBus,org.greenrobot.eventbusp,PrioSubscriber,onEventP10,Magic Number
EventBus,org.greenrobot.eventbusp,PrioSubscriber,onEventM100,Magic Number
EventBus,org.greenrobot.eventbusp,PrioSubscriber,onEventM100,Magic Number
EventBus,org.greenrobot.eventbusp,PrioSubscriberSticky,onEventP10,Magic Number
EventBus,org.greenrobot.eventbusp,PrioSubscriberSticky,onEventP10,Magic Number
EventBus,org.greenrobot.eventbusp,PrioSubscriberSticky,onEventM100,Magic Number
EventBus,org.greenrobot.eventbusp,PrioSubscriberSticky,onEventM100,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,testCancel,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,testCancelInBetween,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,testCancelInBetween,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,testCancelInBetween,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,testCancelOutsideEventHandler,Empty catch clause
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,onEvent2,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,onEvent2,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,onEvent3,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusCancelEventDeliveryTest,onEvent3,Magic Number
EventBus,org.greenrobot.eventbusp,Subscriber,onEvent2,Magic Number
EventBus,org.greenrobot.eventbusp,Subscriber,onEvent2,Magic Number
EventBus,org.greenrobot.eventbusp,Subscriber,onEvent3,Magic Number
EventBus,org.greenrobot.eventbusp,Subscriber,onEvent3,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusSubscriberInJarTest,testSubscriberInJar,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBackgroundThreadTest,testPostInCurrentThread,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusBackgroundThreadTest,testPostFromMain,Magic Number
EventBus,org.greenrobot.eventbusp,TestBackgroundPoster,pollEvent,Empty catch clause
EventBus,org.greenrobot.eventbusp,TestBackgroundPoster,pollEvent,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMainThreadRacingTest,testRacingThreads,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMainThreadRacingTest,testRacingThreads,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMainThreadRacingTest,testRacingThreads,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMainThreadRacingTest,waitForHandler,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMainThreadRacingTest,run,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMainThreadRacingTest,run,Magic Number
EventBus,org.greenrobot.eventbusp,BackgroundPoster,run,Magic Number
EventBus,org.greenrobot.eventbusp,BackgroundPoster,run,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMethodModifiersTest,testRegisterForEventTypeAndPost,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMethodModifiersTest,testRegisterForEventTypeAndPost,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMainThreadTest,testPost,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusMainThreadTest,testPostInBackgroundThread,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidOrderTest,backgroundAndMainUnordered,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidOrderTest,backgroundAndMainUnordered,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidOrderTest,backgroundAndMainOrdered,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidOrderTest,backgroundAndMainOrdered,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidMultithreadedTest,testSubscribeUnSubscribeAndPostMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidMultithreadedTest,testSubscribeUnSubscribeAndPostMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidMultithreadedTest,testSubscribeUnSubscribeAndPostMixedEventType,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidMultithreadedTest,run,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidMultithreadedTest,run,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidMultithreadedTest,run,Magic Number
EventBus,org.greenrobot.eventbusp,SubscribeUnsubscribeThread,run,Magic Number
EventBus,org.greenrobot.eventbusp,SubscribeUnsubscribeThread,run,Magic Number
EventBus,org.greenrobot.eventbusp,SubscribeUnsubscribeThread,run,Magic Number
EventBus,org.greenrobot.eventbusp,EventBusAndroidCancelEventDeliveryTest,testCancelInMainThread,Magic Number
EventBus,org.greenrobot.eventbusp.util,ExceptionToResourceMapping,mapThrowable,Complex Conditional
EventBus,org.greenrobot.eventbusp.util,ExceptionToResourceMapping,mapThrowable,Magic Number
EventBus,org.greenrobot.eventbusp.meta,SubscriberMethodInfo,SubscriberMethodInfo,Long Parameter List
EventBus,org.greenrobot.eventbusp.meta,AbstractSubscriberInfo,createSubscriberMethod,Long Parameter List
EventBus,org.greenrobot.eventbusp.meta,AbstractSubscriberInfo,createSubscriberMethod,Long Statement
EventBus,org.greenrobot.eventbusp.android,AndroidDependenciesDetector,isAndroidSDKAvailable,Empty catch clause
EventBus,org.greenrobot.eventbusp.android,AndroidDependenciesDetector,isAndroidSDKAvailable,Empty catch clause
EventBus,org.greenrobot.eventbusp.android,AndroidDependenciesDetector,isAndroidSDKAvailable,Empty catch clause
EventBus,org.greenrobot.eventbusp.android,AndroidDependenciesDetector,isAndroidSDKAvailable,Empty catch clause
EventBus,org.greenrobot.eventbusp.android,AndroidDependenciesDetector,areAndroidComponentsAvailable,Long Identifier
EventBus,org.greenrobot.eventbusp.android,AndroidDependenciesDetector,instantiateAndroidComponents,Long Identifier
EventBus,org.greenrobot.eventbusp.android,AndroidLogger,mapLevel,Magic Number
